0.591400 1.276407  1.686963  2.588333  3.147852  3.628704  4.193333  4.537037  4.939852  5.394000  6.570370  6.914926  7.866667  9.000815  9.807259  11.391667  12.534519  14.235926  15.864000  17.969778  19.348148  21.919333  22.568741  22.492296  19.797333  20.000000  15.998667  11.394000  6.591407  3.332852  1.633333  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591500 1.275444  1.686370  2.586000  3.143111  3.625000  4.192000  4.533407  4.935111  5.403000  6.559259  6.914926  7.866667  9.000815  9.814519  11.391667  12.525037  14.268037  15.804000  17.996519  19.377778  21.903000  22.568741  22.570667  19.818667  20.023148  15.998667  11.475000  6.533333  3.364000  1.666667  0.498296  0.113778  0.000000  0.000000  0.000000  
0.591600 1.274815  1.684741  2.586667  3.141926  3.622222  4.189333  4.537037  4.920889  5.391000  6.529630  6.932852  7.866667  9.000815  9.821778  11.383333  12.553481  14.235926  15.852000  17.996519  19.392593  21.952000  22.604593  22.551074  19.882667  19.930556  16.023704  11.529000  6.533333  3.364000  1.700000  0.462704  0.151704  0.000000  0.000000  0.000000  
0.591700 1.274333  1.684593  2.585667  3.137185  3.621296  4.188000  4.517074  4.911407  5.403000  6.537037  6.928370  7.856000  9.013333  9.800000  11.416667  12.572444  14.171704  15.840000  18.023259  19.407407  21.952000  22.640444  22.551074  19.968000  19.976852  16.023704  11.556000  6.562370  3.364000  1.700000  0.462704  0.151704  0.000000  0.000000  0.000000  
0.591800 1.273444  1.683556  2.583333  3.137778  3.619444  4.180000  4.506185  4.899556  5.412000  6.537037  6.914926  7.877333  9.013333  9.800000  11.416667  12.581926  14.182407  15.876000  18.023259  19.392593  21.952000  22.640444  22.570667  19.989333  20.046296  16.048741  11.583000  6.562370  3.364000  1.700000  0.462704  0.151704  0.000000  0.000000  0.000000  
0.591900 1.272667  1.681926  2.581000  3.133630  3.617593  4.170667  4.509815  4.906667  5.418000  6.525926  6.919407  7.882667  9.019593  9.770963  11.425000  12.591407  14.193111  15.876000  18.036630  19.481481  21.952000  22.586667  22.551074  20.010667  20.046296  16.098815  11.583000  6.620444  3.332852  1.733333  0.462704  0.151704  0.000000  0.000000  0.000000  
0.592000 1.271852  1.680148  2.579333  3.129481  3.613889  4.170667  4.508000  4.904296  5.415000  6.518519  6.928370  7.893333  9.025852  9.763704  11.416667  12.600889  14.171704  15.852000  18.009889  19.540741  22.001000  22.550815  22.551074  20.096000  19.976852  16.249037  11.583000  6.591407  3.364000  1.766667  0.462704  0.151704  0.000000  0.000000  0.000000  
0.592100 1.271259  1.678963  2.577333  3.128889  3.611111  4.169333  4.500741  4.901926  5.403000  6.522222  6.932852  7.866667  9.038370  9.756444  11.433333  12.619852  14.182407  15.816000  17.916296  19.614815  21.952000  22.622519  22.551074  20.160000  20.000000  16.349185  11.583000  6.620444  3.395148  1.766667  0.462704  0.151704  0.000000  0.000000  0.000000  
0.592200 1.270333  1.678222  2.576667  3.126519  3.606481  4.168000  4.491667  4.901926  5.415000  6.529630  6.919407  7.877333  9.044630  9.770963  11.433333  12.591407  14.171704  15.816000  17.889556  19.644444  21.919333  22.640444  22.649037  20.181333  20.023148  16.399259  11.583000  6.591407  3.426296  1.766667  0.462704  0.151704  0.000000  0.000000  0.000000  
0.592300 1.269630  1.677481  2.576000  3.124148  3.604630  4.165333  4.495296  4.894815  5.409000  6.514815  6.928370  7.866667  9.025852  9.770963  11.425000  12.581926  14.193111  15.828000  17.929667  19.614815  21.919333  22.658370  22.707815  20.096000  20.162037  16.374222  11.664000  6.620444  3.395148  1.800000  0.462704  0.151704  0.000000  0.000000  0.000000  
